"question","answer"
"BİLİMSEL YÖNTEMİN (Gözlem ve Soru Sorma) adımı","Gözlem: Bir bahçıvan, bazı bitkilerin diğerlerinden daha hızlı büyüdüğünü fark eder.
Soru: ""Güneş ışığı miktarı bitkilerin büyüme hızını etkiler mi?"
"BİLİMSEL YÖNTEMİN (Hipotez Oluşturma) adımı","Hipotez: ""Daha fazla güneş ışığı
alan bitkiler, daha az güneş ışığı alan bitkilere göre daha hızlı büyür."""
"BİLİMSEL YÖNTEMİN ( Deney Tasarlama ve Uygulama) adımı","Deney Tasarlama ve Uygulama: 
• 20 adet aynı tür ve boyutta fesleğen fidesi alınır.
• Fideler rastgele iki gruba ayrılır (her grupta 10 fide).
• Grup A: Günde 8 saat doğrudan güneş ışığı alacak  şekilde yerleştirilir.
• Grup B: Günde sadece 4 saat doğrudan güneş ışığı  alacak şekilde yerleştirilir.
• Diğer tüm koşullar (su miktarı, sıcaklık, toprak tipi)  sabit tutulur.
• 4 hafta boyunca bitkilerin boyları her gün ölçülür ve  kaydedilir."
"BİLİMSEL YÖNTEMİN (Veri analizi) adımı","• Her gruptaki bitkilerin ortalama boy artışı hesaplanır.
• Grup A ve Grup B'nin büyüme hızları karşılaştırılır.
• İstatistiksel analiz yapılarak sonuçların anlamlı olup olmadığı belirlenir."
"BİLİMSEL YÖNTEMİN ( Sonuçları Yorumlama) adımı","Diyelim ki sonuçlar şöyle çıktı: 
• Grup A (8 saat güneş): Ortalama 15 cm büyüme
• Grup B (4 saat güneş): Ortalama 10 cm büyüme 
Yorum: Daha fazla güneş ışığı alan bitkiler daha hızlı büyümüştür. Bu, hipotezimizi desteklemektedir."
"BİLİMSEL YÖNTEMİN ( Sonuçları Raporlama ve Paylaşma) adımı","• Deneyin tüm aşamaları, kullanılan
yöntemler, elde edilen veriler ve sonuçlar
detaylı bir rapor halinde yazılır.
• Bu rapor, bir bilimsel dergiye gönderilebilir
veya bir konferansta sunulabilir.
• Diğer bilim insanları bu deneyi
tekrarlayabilir veya sonuçları kendi
çalışmalarında kullanabilir."
"BİLİMSEL YÖNTEMİN Diğer Örnek","Bu ÖRNEK ile ilgili Önemli noktalar:
• Kontrol edilebilen değişkenler (güneş ışığı
miktarı) ve sabit tutulan değişkenler (su,
sıcaklık, toprak) açıkça belirlenmiştir.
• Deney tekrarlanabilir şekilde tasarlanmıştır.
• Veriler sistematik olarak toplanmış ve analiz
edilmiştir.
• Sonuçlar hipotezi desteklese de, bu tek bir
deney kesin bir kanıt oluşturmaz. Daha fazla
araştırma ve tekrar gerekebilir."
"ARAŞTIRMA NEDİR?","Belirli bir konu veya problem hakkında sistematik ve metodolojik bir inceleme sürecini ifade eder. Bilimsel araştırma, bilginin genişletilmesi, hipotezlerin test edilmesi ve yeni teorilerin geliştirilmesi amacıyla yapılır."
"ARAŞTIRMA Tanımı","Bilimsel araştırma, belirli bir soru veya problemi ele almak için sistematik veri toplama, analiz etme ve yorumlama sürecidir."
"ARAŞTIRMANIN TEMEL ÖZELLİKLERİ?","• Sistematik ve planlı bir süreçtir
• Objektif ve tarafsız olmayı hedefler
• Empirik verilere dayanır
• Tekrarlanabilir ve doğrulanabilir olmalıdır
• Eleştiriye ve incelemeye açıktır"
"ARAŞTIRMA TÜRLERİ?","a) Temel Araştırma
b) Uygulamalı Araştırma
c) Nitel Araştırma
d) Nicel Araştırma 
e) Karma Yöntem Araştırması"
"a) Temel Araştırma nedir?","Temel bilgileri genişletmeyi amaçlar, doğrudan pratik uygulamaya odaklanmaz"
"b) Uygulamalı Araştırma nedir?","Pratik problemlere çözüm bulmayı amaçlar"
"c) Nitel Araştırma nedir?","Derinlemesine anlama ve yorumlamaya odaklanır"
"d) Nicel Araştırma nedir?"," Sayısal veriler ve istatistiksel analizler kullanır"
"e) Karma Yöntem Araştırması","Nitel ve nicel yöntemleri birleştirir"
"BİR ARAŞTIRMANIN SÜRECİ-AŞAMALARI","a) Problem tanımlama ve araştırma sorusu
oluşturma
b) Literatür taraması
c) Hipotez oluşturma (gerekiyorsa)
d) Araştırma tasarımı ve metodoloji seçimi
e) Veri toplama
f) Veri analizi
g) Bulguları yorumlama
h) Sonuçları raporlama ve yayınlama"
"BİR ARAŞTIRMANIN ETİK BOYUTLARI","• Katılımcıların bilgilendirilmiş onayı
• Gizlilik ve mahremiyet
• Veri bütünlüğü ve dürüstlük
• Çıkar çatışmalarının açıklanması
• Hayvan ve insan deneklerinin
korunması"
"BİLİMSEL YÖNTEM VE BİLİMSEL ARAŞTIRMA
ARASINDAKİ İLİŞKİ?","Temel İlişki:
• Bilimsel Yöntem, bilimsel araştırmanın temel
çerçevesini ve metodolojisini oluşturur.
• Bilimsel Araştırma, Bilimsel Yöntemin pratikte
uygulanmasıdır."
"ÖRNEK (BİLİMSEL YÖNTEM VE ARAŞTIRMA)","Bir ekolojist iklim değişikliğinin bir tür üzerindeki etkisini incelemek istediğinde:
Bilimsel Yöntem şu adımları önerir: Gözlem, hipotez oluşturma, deney tasarlama, veri toplama, analiz ve sonuç çıkarma.
Bilimsel Araştırma ise: 
• Spesifik gözlem tekniklerini seçer (örn. uydu görüntüleri,  saha çalışması).
• Hipotezi net bir şekilde formüle eder.
• Uygun örnekleme yöntemlerini belirler.
• Veri analizi için istatistiksel yöntemler seçer.
• Sonuçları bilimsel bir makale olarak yazar ve yayınlar."
"NİTEL ARAŞTIRMA TÜRÜ","Nitel (Kalitatif) Araştırma:
Sosyal fenomenleri ve insan davranışlarını
derinlemesine anlamaya odaklanan bir
yaklaşımdır. Genellikle sözel veriler kullanır ve
yorumlayıcı bir bakış açısı benimser."
"NİTEL ARAŞTIRMA Özellikleri","• Derinlemesine ve detaylı bilgi toplar.
• Küçük örneklem gruplarıyla çalışır.
• Açık uçlu sorular ve gözlemler kullanır.
• Subjektif ve yorumlayıcı olabilir.
• Teori oluşturmaya yöneliktir."
"NİCEL ARAŞTIRMA TÜRÜ","Nicel (Kantitatif) Araştırma: Sayısal veriler ve istatistiksel analizler kullanarak hipotezleri test etmeye ve genellemeler yapmaya odaklanan bir yaklaşımdır."
"NİCEL ARAŞTIRMA Özellikleri","• Sayısal veriler toplar ve analiz eder.
• Büyük örneklem gruplarıyla çalışır.
• Kapalı uçlu sorular ve ölçekler kullanır.
• Objektif ve genellenebilir sonuçlar arar.
• Teori test etmeye yöneliktir."
"Nicel ve Nitel Araştırma Veri Tipi  Farkı","Nitel: Sözel, metin bazlı veriler
Nicel: Sayısal veriler"
"Nicel ve Nitel Araştırma Amaç Farkı","Nitel: Anlamak, keşfetmek, yorumlamak
Nicel: Ölçmek, tahmin etmek, genellemek"
"Nicel ve Nitel Araştırma Örneklem Boyutu Farkı","Nitel: Genellikle küçük örneklemler
Nicel: Genellikle büyük örneklemler"
"Nicel ve Nitel Araştırma Veri Toplama Yöntemleri Farkı","Nitel: Görüşmeler, gözlemler, odak grupları
Nicel: Anketler, deneyler, ölçekler"
"Nicel ve Nitel Araştırma Analiz Yöntemleri Farkı","Nitel: İçerik analizi, tematik analiz
Nicel: İstatistiksel analizler (t-test, ANOVA,
regresyon vb)"
"Nicel ve Nitel Araştırma Sonuçların Doğası Farkı","Nitel: Betimleyici, yorumlayıcı
Nicel: Sayısal, istatistiksel"
"Nicel ve Nitel Araştırma Esneklik Farkı","Nitel: Daha esnek, araştırma süreci boyunca
değişebilir
Nicel: Daha yapılandırılmış, önceden belirlenmiş
prosedürler"
"Nicel ve Nitel Araştırma Araştırmacının Rolü Farkı","Nitel: Araştırmacı daha aktif ve yorumlayıcı bir rol oynar
Nicel: Araştırmacı daha tarafsız ve objektif olmaya çalışır"
"Nicel ve Nitel Araştırma Nitel Yaklaşım Farkı","Nitel Yaklaşım: Öğrencilerle derinlemesine
görüşmeler yaparak motivasyon kaynaklarını ve
deneyimlerini anlamaya çalışır."
"Nicel ve Nitel Araştırma Nicel Yaklaşım Farkı","Nicel Yaklaşım: Çok sayıda öğrenciye motivasyon ölçekleri uygulayarak motivasyon düzeylerini sayısal olarak ölçer ve farklı gruplar arasında karşılaştırma yapar."
"Nicel ve Nitel Araştırmanın Güçlü ve
Zayıf Yönleri?","Her iki yaklaşımın da güçlü ve zayıf yönleri
vardır, ve çoğu zaman araştırmacılar daha
kapsamlı bir anlayış için bu iki yaklaşımı
birleştiren karma yöntemler kullanırlar."
"KARMA YAKLAŞIM NEDİR?","Karma yaklaşım (veya karma yöntem araştırması), nitel ve nicel araştırma yöntemlerinin bir arada kullanıldığı bir araştırma stratejisidir. Bu yaklaşım, her iki yöntemin güçlü yönlerinden faydalanarak daha kapsamlı ve derinlemesine bir anlayış elde etmeyi amaçlar. İşte karma yaklaşımın tanımı ve nasıl çalıştığına dair detaylar"
"KARMA YAKLAŞIM Tanımı","Karma yaklaşım, bir araştırma projesinde hem
nitel hem de nicel veri toplama, analiz etme ve yorumlama süreçlerini birleştiren bir araştırma metodolojisidir"
"KARMA YAKLAŞIM AVANTAJLARI?","• Daha kapsamlı ve derinlemesine anlayış sağlar.
• Farklı bakış açılarını birleştirir.
• Bir yöntemin zayıflıklarını diğerinin güçlü yönleriyle telafi eder. Karmaşık araştırma sorularına cevap vermeye olanak tanır."
"KARMA YAKLAŞIM ÖRNEK","Bir eğitim araştırmasında, yeni bir öğretim yönteminin etkinliğini incelemek için karma yaklaşım kullanılabilir:
KARMA YÖNTEM: Nicel verilerden elde edilen başarı ve memnuniyet skorları, nitel verilerden elde edilen öğrenci deneyimleri ve gözlem sonuçlarıyla birlikte değerlendirilir.
Bu entegrasyon, yeni öğretim yönteminin hem sayısal etkinliğini hem de öğrenciler üzerindeki nitel etkilerini anlamayı sağlar."
"Bir araştırma projesinin çeşitli aşamalarında
etik dışı kabul edilebilecek davranışlar?","Bir araştırma projesinin çeşitli aşamalarında
etik dışı kabul edilebilecek davranışlar önemli
bir konudur. Bu davranışlar, bilimsel bütünlüğü
zedeleyebilir ve araştırma sonuçlarının
güvenilirliğini tehlikeye atabilir"
"Araştırma sürecinin farklı aşamaları, etik dışı davranışlar","1. Hazırlama ve önerme aşaması"
"Araştırma sürecinin farklı aşamaları (Veri Uydurma)","Var olmayan veriler üretme veya hayali sonuçlar raporlama"
"Araştırma sürecinin farklı aşamaları (İntihal)","Başkalarının fikirlerini, yöntemlerini veya sonuçlarını uygun atıf yapmadan kullanma"
"Araştırma sürecinin farklı aşamaları (Çoklu Başvuru)","Aynı projeyi farklı kurumlara aynı anda sunma ve bu  durumu bildirmeme"
"Araştırma sürecinin farklı aşamaları (Yanlış Bilgi verme)","Özgeçmiş veya yetkinlikler hakkında yanıltıcı bilgiler sunma"
"Araştırma sürecinin farklı aşamaları (Yürütme Aşaması), Veri Manipülasyonu","Verileri istenen sonuçları destekleyecek şekilde değiştirme  veya seçici kullanma"
"Araştırma sürecinin farklı aşamaları (Yürütme Aşaması), Uygun Olmayan Metodoloji","Araştırma sorusuna uygun olmayan yöntemler kullanma"
"Araştırma sürecinin farklı aşamaları (Yürütme Aşaması), İnsan veya Hayvan Deneklerle İlgili Etik İhlaller","• Bilgilendirilmiş onam almama
• Gereksiz acı veya strese neden olma"
"Araştırma sürecinin farklı aşamaları (Yürütme Aşaması),  Çıkar Çatışmalarını Gizleme","Araştırmayı etkileyebilecek finansal veya kişisel çıkarları açıklamama"
"Araştırma sürecinin farklı aşamaları (Sonuçlandırma Aşaması), Seçici Raporlama:","Sadece hipotezi destekleyen sonuçları raporlama, diğerlerini göz ardı etme"
"Araştırma sürecinin farklı aşamaları (Sonuçlandırma Aşaması), Veri Fabrikasyonu","Eksik verileri doldurmak için hayali veriler üretme"
"Araştırma sürecinin farklı aşamaları (Sonuçlandırma Aşaması) İstatistiksel Manipülasyon:","Sonuçları abartmak için uygunsuz istatistiksel 
yöntemler kullanma"
"Araştırma sürecinin farklı aşamaları (Sonuçlandırma Aşaması),  Uygun Olmayan Yazar Ekleme/Çıkarma","Katkısı olmayan kişileri yazar olarak ekleme veya önemli katkısı olanları çıkarma"
"Araştırma sürecinin farklı aşamaları (Yayımlama Aşaması),  Duplikasyon","Aynı çalışmayı birden fazla yerde yayınlama"
"Araştırma sürecinin farklı aşamaları (Yayımlama Aşaması),  Dilimleme","Tek bir çalışmayı gereksiz yere birçok küçük parçaya bölerek yayınlama"
"Araştırma sürecinin farklı aşamaları (Yayımlama Aşaması),  Yanlış Atıf","Okunmamış veya ilgisiz kaynakları atıf gösterme"
"Araştırma sürecinin farklı aşamaları (Yayımlama Aşaması),  Yayın Etiğine Aykırı Davranışlar","• Hakem sürecini manipüle etme
• Editörlere veya hakemlere baskı yapma"
"Araştırma sürecinin farklı aşamaları (Genel Etik İhlaller), Veri Gizliliğini İhlal","Katılımcıların kişisel bilgilerini uygunsuz şekilde 
kullanma veya paylaşma"
"Araştırma sürecinin farklı aşamaları (Genel Etik İhlaller),Araştırma Fonlarının Kötüye Kullanımı","Proje fonlarını amacı dışında kullanma"
"Araştırma sürecinin farklı aşamaları (Genel Etik İhlaller), Meslektaşlara Karşı Etik Olmayan Davranışlar","Başkalarının çalışmalarını kasıtlı olarak 
engelleme veya sabote etme"
"Araştırma sürecinin farklı aşamaları (Genel Etik İhlaller),Çevreye Zarar Verme","Araştırma sürecinde çevreye gereksiz zarar verme 46"
"TEKNOLOJİ NEDİR?","Teknoloji, insanların ihtiyaçlarını karşılamak ve
problemlerini çözmek için bilimsel bilgiyi pratik
uygulamalara dönüştürme sürecidir."
"TEKNOLOJİ Tanımı","Teknoloji, bilimsel bilgi ve pratik deneyimin, insan yaşamını kolaylaştırmak, üretkenliği artırmak ve çevreyi kontrol etmek amacıyla ürünlere, süreçlere, sistemlere ve hizmetlere dönüştürülmesidir."
"TEKNOLOJİNİN AMAÇLARI?","• Verimliliği artırmak
• İnsan yeteneklerini genişletmek
• Problemlere çözüm üretmek
• Yaşam kalitesini yükseltmek
• İletişimi ve bilgi paylaşımını
kolaylaştırmak"
"TEKNOLOJİNİN ALANLARI?","• Bilgi teknolojileri
• Biyoteknoloji
• Nanoteknoloji
• Enerji teknolojileri
• Ulaşım teknolojileri
• Uzay teknolojileri
• Üretim teknolojileri
• Tıbbi teknolojiler"
"GELECEĞİN TEKNOLOJİLERİ","• Yapay zeka ve makine öğrenmesi
• Kuantum hesaplama
• Genetik mühendisliği
• İleri robotik
• Sanal ve artırılmış gerçeklik"
"Teknolojinin Faydası ve Zararı","Teknoloji, insan uygarlığının ilerlemesinde
kritik bir rol oynamaktadır. Bilimsel keşifleri
günlük yaşamda kullanılabilir hale getirerek,
insanların yaşam kalitesini artırır ve
toplumların gelişmesine katkıda bulunur.
Ancak, teknolojinin etik kullanımı ve
potansiyel olumsuz etkilerinin yönetilmesi
de önemli konulardır."
"TEKNOLOJİ BİLİMSEL ARAŞTIRMALARDA
VERİ KULLANIMI","1. VERİ KULLANIMI:
• Hassas ölçüm cihazları (örn. elektron mikroskopları,  spektrometreler)
• Sensörler ve IoT(Nesnelerin İnterneti) cihazları
• GPS ve uydu teknolojileri
• Otomatik veri toplama sistemleri
ÖNEMİ: Teknoloji daha doğru, hızlı ve büyük ölçekli veri  toplama imkanı sağlar."
"TEKNOLOJİ BİLİMSEL ARAŞTIRMALARDA
VERİ ANALİZİ","2. VERİ ANALİZİ:
• Büyük veri analizi araçları
• İstatistiksel yazılımlar (örn. SPSS, R)
• Yapay zeka ve makine öğrenmesi algoritmaları
• Görselleştirme araçları
ÖNEMİ: Karmaşık ve büyük veri setlerinin hızlı ve  etkili analizini mümkün kılar."
"TEKNOLOJİ BİLİMSEL ARAŞTIRMALARDA
SİMÜLASYON VE MODELLEME","3. SİMÜLASYON VE MODELLEME
• Bilgisayar simülasyonları
• 3D modelleme yazılımları
• Sanal ve artırılmış gerçeklik teknolojileri
ÖNEMİ: Fiziksel deneylerin zor veya imkansız
olduğu durumlarda araştırma yapılmasını sağlar."
"TEKNOLOJİ BİLİMSEL ARAŞTIRMALARDA
İLETİŞİM VE İŞBİRLİĞİ","4. İLETİŞİM VE İŞBİRLİĞİ
• Video konferans sistemleri
• Bulut tabanlı işbirliği platformları
• Akademik sosyal ağlar
ÖNEMİ: Küresel ölçekte işbirliğini ve bilgi 
paylaşımını kolaylaştırır."
"TEKNOLOJİ BİLİMSEL ARAŞTIRMALARDA
YAYIN VE DAĞITIM","5. YAYIN VE DAĞITIM
• Dijital yayın platformları
• Açık erişim dergileri
• Online veri tabanları
ÖNEMİ: Araştırma sonuçlarının hızlı ve geniş 
çapta yayılmasını sağlar."
"TEKNOLOJİ BİLİMSEL ARAŞTIRMALARDA
LABARATUVAR OTOMASYONU","6. LABARATUVAR OTOMASYONU
• Robotik sistemler
• Otomatik pipetleme sistemleri
• Yüksek verimli tarama sistemleri
ÖNEMİ: Deneylerin hızını ve tekrarlanabilirliğini
artırır."
"TEKNOLOJİ BİLİMSEL ARAŞTIRMALARDA
VERİ DEPOLAMA VE YÖNETİMİ","7. VERİ DEPOLAMA VE YÖNETİMİ
• Bulut depolama sistemleri
• Veri tabanı yönetim sistemleri
• Veri güvenliği teknolojileri
ÖNEMİ: Büyük miktarda verinin güvenli bir 
şekilde saklanmasını ve yönetilmesini sağlar."
"TEKNOLOJİ BİLİMSEL ARAŞTIRMALARDA HESAPLAMA GÜCÜ","8. HESAPLAMA GÜCÜ
• Süper bilgisayarlar
• Kuantum hesaplama
• Grid hesaplama
ÖNEMİ: Karmaşık hesaplamaların ve 
simülasyonların yapılmasını mümkün kılar."
"TEKNOLOJİ BİLİMSEL ARAŞTIRMALARDA
GÖRÜNTÜLEME TEKNOLOJİLERİ","9. GÖRÜNTÜLEME TEKNOLOJİLERİ
• MRI, CT tarayıcıları
• Yüksek hızlı kameralar
• Termal görüntüleme sistemleri
ÖNEMİ: Gözle görülemeyen fenomenlerin 
incelenmesini sağlar."
"TEKNOLOJİ BİLİMSEL ARAŞTIRMALARDA
GENETİK VE BİYOTEKNOLOJİ","10. GENETİK VE BİYOTEKNOLOJİ
• DNA sekanslama teknolojileri
• CRISPR gen düzenleme araçları
• Biyoinformatik yazılımlar
ÖNEMİ: Genetik ve biyolojik araştırmaların 
hızını ve kapsamını genişletir."
"TEKNOLOJİNİN GENEL ÖNEMİ","1. Verimlilik: Araştırma süreçlerini  hızlandırır ve otomatikleştirir.
2. Doğruluk: İnsan hatasını azaltır ve  daha hassas ölçümler sağlar.
3. Erişim: Daha önce ulaşılamayan  alanlarda araştırma yapılmasını  mümkün kılar. 4.İnovasyon: Yeni araştırma  yöntemlerinin ve alanlarının ortaya  çıkmasını sağlar.
5. İşbirliği: Küresel ölçekte araştırma  işbirliklerini kolaylaştırır.
6. Maliyet Etkinliği: Uzun vadede  araştırma maliyetlerini düşürebilir."
"BİLİMSEL YÖNTEM VE ARAŞTIRMA EĞİTİMİ","Bilimsel Yöntem ve Araştırma Eğitimi, öğrencilere ve araştırmacılara bilimsel düşünme, problem çözme ve sistematik araştırma yapma becerilerini kazandırmayı amaçlayan bir eğitim sürecidir."
"BİLİMSEL YÖNTEM VE ARAŞTIRMA EĞİTİMİ TANIMI","Bilimsel Yöntem ve Araştırma Eğitimi, bilimsel araştırma sürecinin temel ilkelerini, metodolojilerini ve etik kurallarını öğreten, aynı zamanda eleştirel düşünme ve analitik becerileri geliştiren bir eğitim programıdır."
"Teorik Eğitim","• Bilimsel yöntemin adımlarının öğretilmesi
• Araştırma tasarımı ve metodoloji dersleri
• İstatistik ve veri analizi eğitimi
• Etik kurallar ve bilimsel dürüstlük dersleri"
"Pratik Uygulamalar","• Laboratuvar çalışmaları
• Saha araştırmaları
• Simülasyon ve örnek olay  incelemeleri
• Küçük ölçekli araştırma projeleri yürütme"
"Literatür Tarama Eğitimi","• Akademik kaynakları bulma ve  değerlendirme 
• Eleştirel okuma becerileri  geliştirme"
"Yazım ve Sunum Becerileri","• Bilimsel makale yazma eğitimi
• Araştırma önerisi hazırlama 
• Sunum teknikleri"
"Teknoloji Kullanımı","• Veri analiz yazılımları eğitimi  (örnek: SPSS, R) 
• Online araştırma araçları  kullanımı"
"Mentorluk ve Danışmanlık","• Deneyimli araştırmacılarla  eşleştirme 
• Grup projeleri ve işbirlikçi  öğrenme"
"Seminerler ve Konferanslar","• Uzman konuşmacıların  davet edilmesi 
• Öğrenci konferansları  düzenleme"
"Bilimsel Yöntem ve Araştırma Eğitimi","Sadece akademik çevrelerde değil, aynı
zamanda iş dünyasında ve günlük yaşamda
da kritik öneme sahiptir. Bu eğitim, bireylerin
karmaşık problemleri anlamalarına, analiz
etmelerine ve çözmelerine yardımcı olur.
Ayrıca, toplumun genel bilimsel anlayışını
artırarak, daha bilinçli ve eleştirel düşünen
bir toplum oluşturulmasına katkıda bulunur."
"Bilimsel Okuryazarlık","• Toplumda bilimsel düşünme  ve anlayışı geliştirme 
• Sahte bilim ve yanlış bilgiye  karşı farkındalık oluşturma"
"Araştırma Kalitesini Artırma","• Daha güvenilir ve geçerli  araştırmalar yapılmasını sağlama
• Bilimsel literatüre katkıda  bulunma kalitesini yükseltme"
"İnovasyon ve Gelişme","• Yeni fikirlerin ve çözümlerin  üretilmesini teşvik etme 
• Teknolojik ve bilimsel ilerlemeleri  hızlandırma"
"Eleştirel Düşünme","• Problem çözme becerilerini  geliştirme 
• Analitik ve mantıksal düşünme  yeteneklerini artırma"
" Etik Farkındalık","• Bilimsel dürüstlük ve etik  davranışları teşvik etme
• Araştırma etiği konusunda  bilinçlendirme"
"Disiplinler Arası İşbirliği","• Farklı alanlar arasında bağlantılar  kurma becerisi kazandırma
• Kompleks problemlere çok yönlü  yaklaşımlar geliştirme"
"Küresel Rekabet","• Ülkelerin bilimsel ve teknolojik  rekabet gücünü artırma 
• Uluslararası araştırma  işbirliklerini geliştirme"
"BİLİMSEL ARAŞTIRMALARDA Temel Etik İlkeler","• Dürüstlük
• Tarafsızlık
• Saygı
• Sorumluluk
• Güvenilirlik"
"BİLİMSEL ARAŞTIRMALARDA  Araştırma Etiğinin Temel Konuları","• Bilgilendirilmiş onam
• Gizlilik ve mahremiyet
• Veri bütünlüğü
• Çıkar çatışmaları
• İntihal ve uygun atıf"
"BİLİMSEL ARAŞTIRMALARDA Etik Karar Verme Süreçleri","• Etik ikilemler ve çözüm yöntemleri
• Vaka analizleri"
"BİLİMSEL ARAŞTIRMALARDA Yasal ve Düzenleyici Çerçeve:","• Ulusal ve uluslararası etik  yönetmelikler
• Kurumsal etik komiteleri ve  süreçleri"
"Bilimsel Araştırmalarda Etik Eğitimi","Araştırmacıların sadece kuralları öğrenmelerini
değil, aynı zamanda etik düşünme ve karar verme becerilerini geliştirmelerini amaçlar. Bu eğitim, bilimsel toplulukta etik bir kültürün yerleşmesine ve sürdürülmesine katkıda bulunarak, bilimin bütünlüğünü ve güvenilirliğini korumada kritik bir rol oynar."
"Bilimsel Araştırmalarda Etik  Problemlere Somut Bir Örnek","Diederik Stapel Vakası (2011)"
"Diederik Stapel Vakası (2011)","Diederik Stapel, Hollandalı bir sosyal psikolog ve Tilburg Üniversitesi'nde dekandı.
Yıllarca yayınladığı makalelerde çok sayıda etik ihlal yaptı."
"Diederik Stapel Vakası (2011) Kapsamı ve Ortaya Çıkışı","Etik İhlallerin Kapsamı:
• 55'ten fazla yayını şüpheli bulundu.
• Bu yayınların çoğu prestijli akademik
dergilerde yayınlanmıştı.
Ortaya Çıkış:
• 2011'de üç genç araştırmacı, Stapel'in
verilerindeki tutarsızlıkları fark etti ve bildirdi."
"Diederik Stapel Vakası (2011), Etik İhlaller","a) Veri Uydurma: Stapel, yıllarca yayınladığı
makalelerde kullandığı verilerin büyük bir kısmını tamamen uydurdu.
b) Veri Manipülasyonu: Var olan verileri hipotezlerini destekleyecek şekilde değiştirdi.
c) Sahte Deneyler: Hiç gerçekleştirilmemiş deneyleri yapılmış gibi raporladı.
d) Öğrencileri ve Meslektaşlarını Aldatma: Doktora öğrencilerine ve ortak yazarlara sahte veriler verdi."
"Diederik Stapel Vakası (2011), Sonuçları","a) Akademik:
• Stapel'in akademik unvanları geri alındı.
• Birçok makalesi geri çekildi veya düzeltme yayınlandı.
b) Yasal:
• Hollanda'da araştırma fonlarını kötüye kullanmaktan suçlu bulundu.
c) Disiplinsel Etki:
• Sosyal psikoloji alanında bir güven krizi yarattı.
• Bilimsel yöntemlerin ve hakemlik süreçlerinin sorgulanmasına yol açtı."
"Diederik Stapel Vakası (2011), Etik Tartışmalar ve Sonrası","• Bilimsel dolandırıcılığın tespiti ve önlenmesi 
konusunda tartışmalar başladı.
• Veri paylaşımı ve şeffaflık konularında yeni 
politikalar geliştirildi.
• Bilimsel dergilerde daha sıkı denetim 
mekanizmaları uygulanmaya başlandı.
• Araştırma etiği ve dürüstlüğü konusunda 
farkındalık arttı."
"Diederik Stapel Vakası (2011), Geniş Etkileri","• Bilimsel toplulukta güven kaybı yaşandı.
• Sosyal bilimlerde replikasyon krizi  tartışmalarını tetikledi.
• Bilimsel yayın süreçlerinde reform  çağrıları yapıldı."
"Diederik Stapel Vakası (2011), Genel Bakış","Bu vaka, bilimsel araştırmalarda etik dışı davranışların sadece tıp veya biyoloji gibi alanlarda değil, sosyal bilimlerde de ciddi sorunlara yol açabileceğini göstermektedir. Ayrıca, bu olay bilimsel toplulukta dürüstlük, şeffaflık ve hesap verebilirlik konularının önemini vurgulamıştır.
Sonuç olarak, bilimsel araştırmalarda etik standartların ve denetim mekanizmalarının güçlendirilmesi gerektiği konusunda geniş bir fikir birliği oluşmuştur."
"HİPOTEZ ÇEŞİTLERİ","1. Yönü Bakımından Hipotezler:
2. İfade Biçimi Bakımından Hipotezler
3. Genellik Düzeyi Bakımından Hipotezler
4. Araştırma Düzeyi Bakımından Hipotezler"
"Sıfır (Null) Hipotez","Değişkenler arasında anlamlı bir ilişki, fark veya etkinin olmadığını öne süren istatistiksel hipotezdir. İstatistiksel analizlerde test edilmek üzere kurulan temel hipotez niteliğindedir. Öğrencilerin matematik başarısı ile ders çalışma süreleri arasında anlamlı bir ilişki yoktur."
"Alternatif (Yönlü) Hipotez","Değişkenler arasında belirli bir yönde ilişki, fark veya etkinin var olduğunu öne süren ve sıfır hipotezinin alternatifi olan önermedir"
"Tanımlayıcı Hipotez","Bir durumu, olguyu veya değişkeni tanımlayan, betimleyici nitelikte olan hipotezlerdir. Herhangi
bir ilişki veya nedensellik iddiası içermez.
Lise öğrencilerinin %60'ı günde 2 saatten fazla sosyal medya kullanmaktadır."
"İlişkisel Hşpotez","İki veya daha fazla değişken arasındaki
ilişkinin varlığını, yönünü veya derecesini öngören hipotezlerdir.
Nedensellik iddiası taşımaz.
Ailenin gelir düzeyi ile öğrencilerin okul başarısı arasında anlamlı bir ilişki vardır."
"Nedensel Hipotez","Değişkenler arasında neden-sonuç
ilişkisini öne süren, bir değişkenin diğeri üzerindeki etkisini
açıklayan hipotezlerdir.
Düzenli egzersiz yapmak, depresyon düzeyini azaltmaktadır."
"Genel Hipotez","Geniş kapsamlı, teorik
düzeyde ve soyut nitelikte olan, doğrudan
test edilemeyen hipotezlerdir.
""Eğitim düzeyi yükseldikçe toplumsal kalkınma düzeyi artar."""
"Özel Hipotez","Genel hipotezden türetilen,  spesifik, test edilebilir ve operasyonel düzeydeki hipotezlerdir.
X üniversitesi öğrencilerinin dijital okuryazarlık düzeyleri, akademik başarılarını olumlu yönde etkilemektedir."
"Betimsel Hipotez","Bir durumun, olgunun veya popülasyonun özelliklerini tanımlayan hipotezlerdir.
Ortaokul öğrencilerinin yarısından fazlası günde en az bir saat kitap okumaktadır"
"Çıkarımsal Hipotez","Değişkenler arasındaki ilişkileri analiz eden ve
bu ilişkilerden çıkarımlar yapan hipotezlerdir.
Okul öncesi eğitim alan çocuklar, almayanlara göre ilkokula daha kolay uyum sağlamaktadır."
